Input Message,Response
I am feeling sad,"I'm really sorry you're feeling this way. Sometimes, acknowledging your feelings can help. Have you tried talking to someone close to you about how you're feeling? Also, try doing something that usually makes you happy, even if it's just a little. It could be a walk, a favorite song, or journaling your thoughts."
I am feeling anxious,"It’s normal to feel anxious sometimes. When anxiety hits, try grounding exercises, like focusing on the things around you that you can see, hear, touch, and smell. Breathing exercises can also help. Inhale slowly, hold for a few seconds, and exhale slowly. Repeat until you feel calmer."
I am feeling depressed,"I'm really sorry you're going through this. Depression can make everything feel heavy. It can help to break things into small, manageable tasks. Have you considered talking to a counselor? Sometimes, even small actions like going for a walk or eating a good meal can lift the weight just a bit."
I am stressed,"Stress can be overwhelming, but breaking things down into smaller, manageable tasks can help. Take a moment to write down what’s stressing you out, and prioritize them. Make sure to also schedule time for yourself, even if it’s just 10 minutes of deep breathing or stretching."
I am lonely,"Loneliness can feel really isolating, but it’s okay to reach out to others, even if it's just a quick text or call. If you feel up to it, consider joining a group or online community around something you enjoy. Remember, you're not alone."
I need help,I’m here for you. What kind of help do you need? Sometimes talking to a professional or trusted friend can provide relief. There are also many helplines available where you can talk to someone who listens. It's okay to ask for help.
I feel lost,"It’s okay to feel lost sometimes. Life can be confusing, and everyone goes through it. Try writing down your thoughts and feelings to get a clearer picture of what's bothering you. Set small goals and focus on one step at a time. Don't hesitate to seek guidance if needed."
I am worried,"Worrying can take over your mind. Try to pinpoint exactly what you’re worried about. Is it something within your control? If so, list some possible solutions. If it’s outside of your control, practicing acceptance or mindfulness techniques might help."
How do I calm down?,"Calming down in stressful situations can be hard. A quick and effective technique is the 4-7-8 breathing method: inhale for 4 seconds, hold for 7 seconds, and exhale for 8 seconds. Repeating this a few times can help slow your heart rate and ease tension."
I can't sleep,"Sleeplessness can be frustrating. Try establishing a relaxing bedtime routine, like turning off electronics 30 minutes before bed, reading, or practicing deep breathing. Sometimes writing down your thoughts before bed can also help clear your mind."
I don't feel good enough,"I know it’s hard when those thoughts creep in, but remember that your worth isn’t tied to external validation. Start by practicing self-compassion: treat yourself as you would a close friend. Celebrate small wins, and take things one step at a time."
What is anxiety?,"Anxiety is a natural response to stress or perceived danger. It’s your body’s way of preparing for a challenge. However, chronic anxiety can interfere with daily life. Techniques like mindfulness, regular exercise, and therapy can help manage it."
